Time, Altitude, Velocity, Temperature (C), Voltage
0.00, 0, 0, 28.03, 9.50
0.05, 1, 33, 28.04, 9.50
0.10, 4, 27, 28.03, 9.50
0.15, 3, 20, 28.04, 9.50
0.20, 7, 25, 28.04, 9.50
0.25, 5, 26, 28.04, 9.50
0.30, 7, 32, 28.04, 9.50
0.35, 7, 39, 28.03, 9.50
0.40, 14, 48, 28.04, 9.50
0.45, 14, 58, 28.05, 9.50
0.50, 17, 71, 28.04, 9.50
0.55, 19, 85, 28.05, 9.50
0.60, 28, 100, 28.05, 9.50
0.65, 32, 115, 28.05, 9.50
0.70, 39, 128, 28.05, 9.50
0.75, 47, 138, 28.04, 9.50
0.80, 54, 147, 28.05, 9.50
0.85, 61, 155, 28.05, 9.50
0.90, 69, 162, 28.05, 9.50
0.95, 78, 170, 28.05, 9.50
1.00, 87, 177, 28.05, 9.50
1.05, 97, 183, 28.05, 9.50
1.10, 106, 189, 28.05, 9.50
1.15, 114, 197, 28.05, 9.50
1.20, 126, 209, 28.05, 9.50
1.25, 135, 224, 28.06, 9.50
1.30, 147, 243, 28.05, 9.50
1.35, 160, 265, 28.06, 9.50
1.40, 175, 288, 28.06, 9.50
1.45, 191, 310, 28.06, 9.50
1.50, 208, 330, 28.06, 9.50
1.55, 225, 349, 28.06, 9.50
1.60, 243, 364, 28.07, 9.50
1.65, 264, 377, 28.06, 9.50
1.70, 283, 390, 28.06, 9.50
1.75, 302, 405, 28.06, 9.50
1.80, 321, 420, 28.06, 9.50
1.85, 345, 438, 28.06, 9.50
1.90, 368, 458, 28.06, 9.50
1.95, 391, 479, 28.06, 9.50
2.00, 416, 499, 28.06, 9.50
2.05, 442, 519, 28.05, 9.50
2.10, 469, 539, 28.06, 9.50
2.15, 499, 559, 28.05, 9.50
2.20, 525, 582, 28.05, 9.50
2.25, 555, 607, 28.05, 9.50
2.30, 587, 635, 28.04, 9.50
2.35, 621, 665, 28.03, 9.50
2.40, 653, 692, 28.03, 9.50
2.45, 692, 706, 28.00, 9.50
2.50, 732, 701, 28.00, 9.50
2.55, 770, 669, 28.00, 9.50
2.60, 806, 609, 27.99, 9.50
2.65, 833, 530, 27.99, 9.50
2.70, 852, 444, 27.99, 9.50
2.75, 866, 363, 28.00, 9.50
2.80, 879, 300, 28.01, 9.50
2.85, 890, 263, 28.01, 9.50
2.90, 898, 253, 28.03, 9.50
2.95, 907, 268, 28.05, 9.50
3.00, 921, 301, 28.05, 9.50
3.05, 940, 343, 28.06, 9.50
3.10, 962, 385, 28.06, 9.50
3.15, 984, 422, 28.05, 9.50
3.20, 1007, 449, 28.05, 9.50
3.25, 1031, 469, 28.06, 9.50
3.30, 1055, 484, 28.05, 9.50
3.35, 1081, 498, 28.05, 9.50
3.40, 1103, 510, 28.06, 9.50
3.45, 1133, 523, 28.05, 9.50
3.50, 1158, 534, 28.05, 9.50
3.55, 1187, 547, 28.05, 9.50
3.60, 1212, 560, 28.05, 9.50
3.65, 1243, 576, 28.05, 9.50
3.70, 1270, 596, 28.04, 9.50
3.75, 1301, 617, 28.03, 9.50
3.80, 1333, 633, 28.02, 9.50
3.85, 1369, 639, 28.01, 9.50
3.90, 1403, 626, 28.00, 9.50
3.95, 1437, 593, 27.99, 9.50
4.00, 1465, 539, 27.99, 9.50
4.05, 1490, 470, 28.00, 9.50
4.10, 1509, 395, 28.00, 9.50
4.15, 1523, 322, 28.00, 9.50
4.20, 1534, 261, 28.01, 9.50
4.25, 1542, 220, 28.02, 9.50
4.30, 1548, 201, 28.03, 9.50
4.35, 1556, 206, 28.05, 9.50
4.40, 1565, 230, 28.05, 9.50
4.45, 1578, 267, 28.05, 9.50
4.50, 1595, 310, 28.06, 9.50
4.55, 1613, 349, 28.05, 9.50
4.60, 1635, 381, 28.06, 9.50
4.65, 1657, 402, 28.06, 9.50
4.70, 1678, 414, 28.06, 9.50
4.75, 1697, 420, 28.06, 9.50
4.80, 1719, 424, 28.06, 9.50
4.85, 1741, 428, 28.05, 9.50
4.90, 1762, 435, 28.05, 9.50
4.95, 1783, 445, 28.05, 9.50
5.00, 1805, 459, 28.06, 9.50
5.05, 1830, 475, 28.05, 9.50
5.10, 1855, 492, 28.05, 9.50
5.15, 1879, 512, 28.05, 9.50
5.20, 1905, 531, 28.04, 9.50
5.25, 1935, 549, 28.03, 9.50
5.30, 1962, 563, 28.03, 9.50
5.35, 1992, 569, 28.01, 9.50
5.40, 2022, 563, 28.00, 9.50
5.45, 2053, 543, 28.00, 9.50
5.50, 2080, 507, 28.00, 9.50
5.55, 2104, 458, 28.00, 9.50
5.60, 2123, 401, 28.00, 9.50
5.65, 2140, 341, 28.00, 9.50
5.70, 2153, 283, 28.00, 9.50
5.75, 2165, 231, 28.00, 9.50
5.80, 2172, 190, 28.01, 9.50
5.85, 2178, 163, 28.03, 9.50
5.90, 2183, 151, 28.03, 9.50
5.95, 2189, 156, 28.04, 9.50
6.00, 2195, 175, 28.05, 9.50
6.05, 2207, 204, 28.05, 9.50
6.10, 2218, 238, 28.06, 9.50
6.15, 2233, 270, 28.05, 9.50
6.20, 2249, 298, 28.05, 9.50
6.25, 2265, 319, 28.06, 9.50
6.30, 2283, 332, 28.06, 9.50
6.35, 2301, 340, 28.06, 9.50
6.40, 2319, 344, 28.05, 9.50
6.45, 2335, 349, 28.05, 9.50
6.50, 2349, 355, 28.06, 9.50
6.55, 2371, 363, 28.06, 9.50
6.60, 2388, 370, 28.05, 9.50
6.65, 2409, 377, 28.05, 9.50
6.70, 2428, 381, 28.05, 9.50
6.75, 2447, 385, 28.05, 9.50
6.80, 2465, 392, 28.05, 9.50
6.85, 2483, 401, 28.05, 9.50
6.90, 2505, 414, 28.05, 9.50
6.95, 2528, 429, 28.03, 9.50
7.00, 2549, 445, 28.03, 9.50
7.05, 2572, 461, 28.03, 9.50
7.10, 2595, 474, 28.02, 9.50
7.15, 2621, 481, 28.00, 9.50
7.20, 2647, 481, 28.00, 9.50
7.25, 2672, 471, 28.00, 9.50
7.30, 2696, 450, 27.99, 9.50
7.35, 2717, 419, 27.99, 9.50
7.40, 2737, 380, 27.98, 9.50
7.45, 2754, 336, 27.98, 9.50
7.50, 2768, 290, 27.98, 9.50
7.55, 2781, 243, 27.98, 9.50
7.60, 2790, 198, 28.00, 9.50
7.65, 2797, 158, 28.00, 9.50
7.70, 2801, 125, 28.00, 9.50
7.75, 2807, 103, 28.01, 9.50
7.80, 2808, 92, 28.02, 9.50
7.85, 2811, 92, 28.03, 9.50
7.90, 2816, 103, 28.03, 9.50
7.95, 2822, 123, 28.05, 9.50
8.00, 2828, 148, 28.05, 9.50
8.05, 2838, 175, 28.05, 9.50
8.10, 2848, 201, 28.05, 9.50
8.15, 2860, 223, 28.05, 9.50
8.20, 2873, 240, 28.05, 9.50
8.25, 2886, 253, 28.05, 9.50
8.30, 2900, 260, 28.05, 9.50
8.35, 2913, 263, 28.05, 9.50
8.40, 2926, 265, 28.05, 9.50
8.45, 2939, 264, 28.05, 9.50
8.50, 2953, 264, 28.05, 9.50
8.55, 2966, 265, 28.05, 9.50
8.60, 2979, 267, 28.05, 9.50
8.65, 2991, 272, 28.05, 9.50
8.70, 3005, 277, 28.05, 9.50
8.75, 3021, 283, 28.05, 9.50
8.80, 3035, 289, 28.05, 9.50
8.85, 3049, 293, 28.05, 9.50
8.90, 3065, 296, 28.04, 9.50
8.95, 3079, 300, 28.05, 9.50
9.00, 3094, 303, 28.04, 9.50
9.05, 3110, 307, 28.04, 9.50
9.10, 3125, 312, 28.03, 9.50
9.15, 3141, 319, 28.03, 9.50
9.20, 3156, 328, 28.03, 9.50
9.25, 3174, 339, 28.01, 9.50
9.30, 3191, 351, 28.01, 9.50
9.35, 3209, 363, 28.01, 9.50
9.40, 3228, 373, 28.00, 9.50
9.45, 3248, 379, 28.00, 9.50
9.50, 3268, 380, 27.99, 9.50
9.55, 3288, 375, 27.98, 9.50
9.60, 3306, 363, 27.98, 9.50
9.65, 3324, 345, 27.97, 9.50
9.70, 3341, 323, 27.97, 9.50
9.75, 3356, 298, 27.96, 9.50
9.80, 3369, 270, 27.97, 9.50
9.85, 3381, 239, 27.97, 9.50
9.90, 3392, 208, 27.96, 9.50
9.95, 3402, 176, 27.96, 9.50
10.00, 3408, 144, 27.97, 9.50
10.05, 3413, 114, 27.98, 9.50
10.10, 3416, 88, 27.99, 9.50
10.15, 3420, 67, 27.98, 9.50
10.20, 3422, 52, 27.99, 9.50
10.25, 3422, 43, 28.00, 9.50
10.30, 3424, 38, 28.00, 9.50
10.35, 3426, 36, 28.00, 9.50
10.40, 3429, 38, 28.00, 9.50
10.45, 3428, 42, 28.02, 9.50
10.50, 3432, 50, 28.02, 9.50
10.55, 3434, 60, 28.03, 9.50
10.60, 3437, 74, 28.03, 9.50
10.65, 3442, 89, 28.03, 9.50
10.70, 3447, 104, 28.04, 9.50
10.75, 3454, 119, 28.04, 9.50
10.80, 3460, 133, 28.04, 9.50
10.85, 3467, 144, 28.05, 9.50
10.90, 3477, 153, 28.04, 9.50
10.95, 3484, 160, 28.05, 9.50
11.00, 3492, 164, 28.05, 9.50
11.05, 3501, 165, 28.05, 9.50
11.10, 3510, 165, 28.04, 9.50
11.15, 3517, 165, 28.04, 9.50
11.20, 3526, 163, 28.05, 9.50
11.25, 3534, 163, 28.04, 9.50
11.30, 3541, 163, 28.04, 9.50
11.35, 3550, 163, 28.04, 9.50
11.40, 3558, 164, 28.04, 9.50
11.45, 3567, 166, 28.05, 9.50
11.50, 3574, 166, 28.05, 9.50
11.55, 3584, 166, 28.03, 9.50
11.60, 3591, 166, 28.04, 9.50
11.65, 3600, 166, 28.04, 9.50
11.70, 3608, 166, 28.03, 9.50
11.75, 3616, 167, 28.04, 9.50
11.80, 3626, 168, 28.03, 9.50
11.85, 3632, 169, 28.03, 9.50
11.90, 3642, 171, 28.03, 9.50
11.95, 3649, 172, 28.03, 9.50
12.00, 3661, 173, 28.01, 9.50
12.05, 3668, 173, 28.03, 9.50
12.10, 3676, 174, 28.03, 9.50
12.15, 3685, 175, 28.02, 9.50
12.20, 3693, 176, 28.03, 9.50
12.25, 3703, 179, 28.02, 9.50
12.30, 3712, 181, 28.01, 9.50
12.35, 3721, 184, 28.01, 9.50
12.40, 3731, 188, 28.01, 9.50
12.45, 3738, 192, 28.01, 9.50
12.50, 3750, 197, 28.00, 9.50
12.55, 3760, 201, 28.00, 9.50
12.60, 3770, 205, 28.00, 9.50
12.65, 3781, 208, 28.00, 9.50
12.70, 3791, 211, 28.00, 9.50
12.75, 3801, 214, 27.99, 9.50
12.80, 3813, 217, 27.98, 9.50
12.85, 3824, 220, 27.98, 9.50
12.90, 3834, 222, 27.98, 9.50
12.95, 3847, 222, 27.97, 9.50
13.00, 3857, 221, 27.96, 9.50
13.05, 3869, 218, 27.96, 9.50
13.10, 3879, 213, 27.96, 9.50
13.15, 3891, 206, 27.95, 9.50
13.20, 3900, 197, 27.95, 9.50
13.25, 3909, 188, 27.94, 9.50
13.30, 3918, 179, 27.94, 9.50
13.35, 3927, 168, 27.94, 9.50
13.40, 3935, 157, 27.94, 9.50
13.45, 3942, 145, 27.94, 9.50
13.50, 3950, 131, 27.94, 9.50
13.55, 3954, 119, 27.94, 9.50
13.60, 3959, 105, 27.94, 9.50
13.65, 3965, 91, 27.94, 9.50
13.70, 3969, 77, 27.94, 9.50
13.75, 3972, 62, 27.94, 9.50
13.80, 3974, 48, 27.94, 9.50
13.85, 3975, 34, 27.94, 9.50
13.90, 3976, 22, 27.94, 9.50
13.95, 3977, 11, 27.94, 9.50
14.00, 3977, -0, 27.95, 9.50
14.05, 3977, -11, 27.95, 9.50
14.10, 3975, -22, 27.95, 9.50
14.15, 3973, -32, 27.96, 9.50
14.20, 3972, -41, 27.96, 9.50
14.25, 3968, -48, 27.97, 9.50
14.30, 3966, -52, 27.97, 9.50
14.35, 3962, -55, 27.98, 9.50
14.40, 3960, -55, 27.99, 9.50
14.45, 3957, -55, 27.98, 9.50
14.50, 3955, -54, 28.00, 9.50
14.55, 3951, -53, 28.00, 9.50
14.60, 3949, -51, 28.00, 9.50
14.65, 3947, -48, 28.00, 9.50
14.70, 3943, -44, 28.00, 9.50
14.75, 3943, -40, 28.00, 9.50
14.80, 3940, -35, 28.00, 9.50
14.85, 3939, -30, 28.01, 9.50
14.90, 3937, -26, 28.01, 9.50
14.95, 3937, -21, 28.01, 9.50
15.00, 3936, -16, 28.01, 9.50
15.05, 3934, -10, 28.02, 9.50
15.10, 3935, -5, 28.01, 9.50
15.15, 3935, 1, 28.03, 9.50
15.20, 3936, 5, 28.02, 9.50
15.25, 3936, 8, 28.02, 9.50
15.30, 3936, 12, 28.02, 9.50
15.35, 3937, 15, 28.02, 9.50
15.40, 3938, 19, 28.02, 9.50
15.45, 3939, 22, 28.03, 9.50
15.50, 3941, 24, 28.03, 9.50
15.55, 3943, 25, 28.01, 9.50
15.60, 3942, 26, 28.03, 9.50
15.65, 3945, 26, 28.02, 9.50
15.70, 3946, 26, 28.02, 9.50
15.75, 3947, 26, 28.01, 9.50
15.80, 3948, 25, 28.02, 9.50
15.85, 3951, 21, 28.01, 9.50
15.90, 3952, 18, 28.01, 9.50
15.95, 3951, 15, 28.03, 9.50
16.00, 3951, 13, 28.02, 9.50
16.05, 3952, 13, 28.02, 9.50
16.10, 3953, 15, 28.01, 9.50
16.15, 3954, 17, 28.01, 9.50
16.20, 3955, 17, 28.02, 9.50
16.25, 3957, 16, 28.02, 9.50
16.30, 3956, 13, 28.02, 9.50
16.35, 3959, 9, 28.01, 9.50
16.40, 3957, 6, 28.02, 9.50
16.45, 3956, 5, 28.02, 9.50
16.50, 3958, 4, 28.01, 9.50
16.55, 3959, 7, 28.02, 9.50
16.60, 3956, 11, 28.02, 9.50
16.65, 3959, 14, 28.02, 9.50
16.70, 3960, 18, 28.02, 9.50
16.75, 3961, 22, 28.01, 9.50
16.80, 3963, 25, 28.01, 9.50
16.85, 3963, 31, 28.01, 9.50
16.90, 3965, 39, 28.01, 9.50
16.95, 3965, 48, 28.00, 9.50
17.00, 3970, 57, 28.00, 9.50
17.05, 3975, 60, 28.00, 9.50
17.10, 3979, 54, 28.01, 9.50
17.15, 3983, 40, 28.00, 9.50
17.20, 3983, 22, 28.00, 9.50
17.25, 3983, 2, 28.00, 9.50
17.30, 3980, -12, 28.00, 9.50
17.35, 3975, -20, 28.00, 9.50
17.40, 3978, -22, 28.00, 9.50
17.45, 3978, -21, 28.00, 9.50
17.50, 3974, -17, 28.00, 9.50
17.55, 3975, -10, 28.00, 9.50
17.60, 3972, 2, 28.00, 9.50
17.65, 3975, 18, 28.00, 9.50
17.70, 3973, 36, 28.00, 9.50
17.75, 3976, 55, 28.00, 9.50
17.80, 3986, 64, 28.00, 9.50
17.85, 3993, 70, 27.99, 9.50
17.90, 3988, 68, 28.00, 9.50
17.95, 3992, 58, 27.99, 9.50
18.00, 4001, 46, 27.98, 9.50
18.05, 3998, 29, 27.98, 9.50
18.10, 4005, 9, 27.98, 9.50
18.15, 3995, -14, 27.97, 9.50
18.20, 4001, -39, 27.97, 9.50
18.25, 3993, -66, 27.96, 9.50
18.30, 3990, -87, 27.96, 9.50
18.35, 3986, -99, 27.96, 9.50
18.40, 3978, -94, 27.94, 9.50
18.45, 3967, -63, 27.94, 9.50
18.50, 3956, -9, 27.94, 9.50
18.55, 3967, 61, 27.91, 9.50
18.60, 3979, 134, 27.89, 9.50
18.65, 3990, 210, 27.89, 9.50
18.70, 4002, 277, 27.88, 9.50
18.75, 4021, 336, 27.87, 9.50
18.80, 4031, 384, 27.87, 9.50
18.85, 4053, 384, 27.87, 9.50
18.90, 4108, 327, 27.86, 9.50
18.95, 4119, 204, 27.87, 9.50
19.00, 4124, 10, 27.89, 9.50
19.05, -251, -204, 27.89, 9.50
19.10, 4058, -397, 27.99, 9.50
19.15, 4052, -538, 27.99, 9.50
19.20, 3998, -594, 28.04, 9.50
19.25, 3954, -568, 28.08, 9.50
19.30, 3931, -496, 28.11, 9.50
19.35, 3916, -393, 28.15, 9.50
19.40, 3913, -293, 28.18, 9.50
19.45, 3904, -219, 28.21, 9.50
