Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total acceleration (ft/s²),Mass (oz),Propellant mass (oz),Thrust (N),Drag force (N),Drag coefficient (​)
0,0,0,-16.965,16.965,829.33,88.739,108.65,0,1.6082
2e-3,0,0,13.359,13.359,829.33,88.739,325.96,0,1.6082
4e-3,2.6719e-5,0.026719,43.684,43.684,829.31,88.718,543.26,1.2676e-6,1.6082
6e-3,1.6753e-4,0.11409,74.011,74.011,829.29,88.697,760.57,2.3111e-5,1.6082
8e-3,5.4374e-4,0.26212,104.34,104.34,829.27,88.677,977.87,1.0475e-4,1.381
0.01,0.0012767,0.4708,133.12,133.12,829.25,88.656,1184.1,2.9105e-4,1.1893
0.012,0.0024845,0.73705,152.6,152.6,829.22,88.626,1323.6,6.4404e-4,1.0738
0.014,0.0042638,1.0423,170.53,170.53,829.17,88.579,1452,0.0011976,0.99854
0.016,0.0066894,1.3834,188.47,188.47,829.12,88.523,1580.4,0.0019955,0.94446
0.018,0.0098331,1.7603,206.41,206.41,829.06,88.467,1708.9,0.0030891,0.90293
0.02,0.013767,2.1732,224.35,224.35,829,88.411,1837.3,0.0045342,0.86961
0.022,0.018562,2.6219,242.3,242.3,828.95,88.355,1965.7,0.0063908,0.84203
0.024,0.02429,3.1065,255.05,255.05,828.89,88.299,2056.9,0.0087228,0.81868
0.026,0.031013,3.6167,262.61,262.61,828.83,88.232,2110.9,0.011537,0.7989
0.028,0.038772,4.142,270.18,270.18,828.75,88.155,2164.9,0.014814,0.78212
0.03,0.047596,4.6824,277.75,277.75,828.67,88.079,2218.9,0.01858,0.7676
0.032,0.057516,5.2379,285.32,285.32,828.6,88.002,2272.9,0.022865,0.75484
0.034,0.068563,5.8086,292.89,292.89,828.52,87.925,2326.9,0.027696,0.74349
0.036,0.080766,6.3944,299.95,299.95,828.44,87.849,2377.2,0.033103,0.73328
0.038,0.094155,6.9944,303.96,303.96,828.36,87.77,2405.7,0.039107,0.72404
0.04,0.10875,7.6023,307.46,307.46,828.28,87.686,2430.5,0.045668,0.71569
0.042,0.12457,8.2173,310.96,310.96,828.19,87.601,2455.3,0.052789,0.7081
0.044,0.14163,8.8393,314.46,314.46,828.11,87.515,2480.1,0.060483,0.70114
0.046,0.15994,9.4683,317.96,317.96,828.02,87.43,2504.9,0.068763,0.69473
0.048,0.17951,10.104,321.46,321.46,827.94,87.344,2529.7,0.077641,0.6888
0.05,0.20036,10.747,323.31,323.31,827.85,87.258,2542.7,0.087133,0.68328
0.052,0.2225,11.394,323.51,323.51,827.76,87.171,2543.8,0.097199,0.67814
0.054,0.24594,12.041,323.7,323.7,827.68,87.082,2545,0.10779,0.67338
0.056,0.27066,12.688,323.9,323.9,827.59,86.993,2546.1,0.1189,0.66893
0.058,0.29669,13.336,324.1,324.1,827.5,86.904,2547.2,0.13054,0.66476
0.06,0.32401,13.985,324.29,324.29,827.41,86.816,2548.4,0.14269,0.66085
0.062,0.35263,14.633,324.49,324.49,827.32,86.727,2549.5,0.15536,0.65717
0.064,0.38254,15.282,324.68,324.68,827.23,86.638,2550.7,0.16855,0.65369
0.066,0.41376,15.932,324.88,324.88,827.14,86.549,2551.8,0.18226,0.6504
0.068,0.44627,16.582,325.07,325.07,827.05,86.46,2552.9,0.19648,0.64727
0.07,0.48008,17.232,325.27,325.27,826.96,86.371,2554.1,0.21122,0.6443
0.072,0.5152,17.882,325.47,325.47,826.88,86.282,2555.2,0.22647,0.64147
0.074,0.55161,18.533,325.66,325.66,826.79,86.193,2556.4,0.24223,0.63876
0.076,0.58933,19.185,325.86,325.86,826.7,86.104,2557.5,0.25851,0.63618
0.078,0.62835,19.836,326.05,326.05,826.61,86.015,2558.6,0.2753,0.6337
0.08,0.66868,20.489,326.25,326.25,826.52,85.927,2559.8,0.2926,0.63133
0.082,0.71031,21.141,326.44,326.44,826.43,85.838,2560.9,0.31041,0.62905
0.084,0.75324,21.794,326.64,326.64,826.34,85.749,2562,0.32873,0.62686
0.086,0.79748,22.447,326.83,326.83,826.25,85.66,2563.2,0.34756,0.62475
0.088,0.84303,23.101,327.03,327.03,826.16,85.571,2564.3,0.3669,0.62272
0.09,0.88989,23.755,327.22,327.22,826.08,85.482,2565.5,0.38675,0.62076
0.092,0.93805,24.41,327.42,327.42,825.99,85.393,2566.6,0.4071,0.61886
0.094,0.98753,25.065,327.61,327.61,825.9,85.304,2567.7,0.42797,0.61703
0.096,1.0383,25.72,327.81,327.81,825.81,85.215,2568.9,0.44935,0.61526
0.098,1.0904,26.376,328.01,328.01,825.72,85.126,2570,0.47123,0.61355
0.1,1.1438,27.032,328.09,328.09,825.63,85.038,2570.4,0.49363,0.61188
0.102,1.1985,27.688,328.08,328.08,825.54,84.949,2570,0.51652,0.61027
0.104,1.2546,28.344,328.06,328.06,825.45,84.859,2569.6,0.53991,0.60871
0.106,1.3119,29,328.04,328.04,825.36,84.77,2569.3,0.56379,0.6072
0.108,1.3706,29.657,328.02,328.02,825.27,84.681,2568.9,0.58816,0.60572
0.11,1.4305,30.313,328.01,328.01,825.19,84.592,2568.5,0.61302,0.60429
0.112,1.4918,30.969,327.99,327.99,825.1,84.502,2568.1,0.63836,0.6029
0.114,1.5544,31.625,327.97,327.97,825.01,84.413,2567.7,0.6642,0.60155
0.116,1.6183,32.281,327.95,327.95,824.92,84.324,2567.4,0.69052,0.60023
0.118,1.6835,32.937,327.93,327.93,824.83,84.235,2567,0.71733,0.59894
0.12,1.7501,33.593,327.92,327.92,824.74,84.145,2566.6,0.74463,0.59769
0.122,1.8179,34.249,327.9,327.9,824.65,84.056,2566.2,0.7724,0.59647
0.124,1.8871,34.904,327.88,327.88,824.56,83.967,2565.8,0.80067,0.59528
0.126,1.9575,35.56,327.86,327.86,824.47,83.878,2565.5,0.82941,0.59412
0.128,2.0293,36.216,327.84,327.84,824.38,83.789,2565.1,0.85864,0.59298
0.13,2.1024,36.872,327.82,327.82,824.29,83.699,2564.7,0.88835,0.59187
0.132,2.1768,37.527,327.81,327.81,824.2,83.61,2564.3,0.91854,0.59079
0.134,2.2525,38.183,327.79,327.79,824.11,83.521,2563.9,0.94921,0.58973
0.136,2.3295,38.839,327.77,327.77,824.03,83.432,2563.6,0.98036,0.58869
0.138,2.4079,39.494,327.75,327.75,823.94,83.342,2563.2,1.012,0.58768
