time,accel_x,accel_y,accel_z,pitch,roll,yaw,temperature,pressure,humidity
33:01.7,-1.000918627,-0.024363814,-0.08604721,85.04263071,196.3147078,126.581478,26.52539444,990.859375,49.8164444
33:01.7,-1.001905918,-0.025811171,-0.08508309,85.03595762,196.4165869,126.6878787,26.54345512,990.8586426,50.55911255
33:01.8,-1.000918627,-0.026534848,-0.084842063,85.03761736,196.5865083,126.8585378,26.54345512,990.8537598,50.55911255
33:01.8,-1.000178099,-0.027017301,-0.083395891,85.04243264,196.6408083,126.9064174,26.48927116,990.8469238,48.88181305
33:01.9,-1.001412272,-0.026052397,-0.084360011,85.06870155,195.7664348,126.0211429,26.50733185,990.8466797,50.78884125
33:01.9,-1.001905918,-0.024363814,-0.081949718,85.0404997,196.9648462,127.2213165,26.50733185,990.8486328,50.78884125
33:02.0,-0.999437571,-0.023398912,-0.083636917,85.03769249,196.8865449,127.1416082,26.56151772,990.8464355,50.1783371
33:02.0,-1.001905918,-0.022434007,-0.082672805,85.03801351,196.7749259,127.0347157,26.56151772,990.8464355,50.1783371
33:02.0,-1.001659036,-0.021951558,-0.086529262,85.03067105,196.731404,127.0012887,26.45314789,990.8525391,50.90527344
33:02.1,-1.001905918,-0.021710331,-0.08604721,85.02779554,196.7462801,127.0163015,26.45314789,990.8552246,50.90527344
33:02.1,-1.001412272,-0.023881365,-0.086288236,85.01877969,196.8671471,127.138357,26.56151772,990.8566895,51.65423965
33:02.2,-0.999931216,-0.025569946,-0.084842063,85.01752294,197.0420137,127.3147944,26.47121048,990.8583984,50.03987503
33:02.2,-1.000671744,-0.027982203,-0.083154865,85.02106098,197.1914172,127.4631052,26.47121048,990.8620605,50.03987503
33:02.3,-1.00116539,-0.028705882,-0.081949718,85.02130003,197.3291958,127.5985615,26.54345512,990.8632813,50.03987503
33:02.3,-1.000671744,-0.026052397,-0.082913831,85.04203649,196.4249197,126.6916899,26.54345512,990.8596191,50.03987503
33:02.4,-1.000671744,-0.025328718,-0.084842063,85.0383277,196.3588035,126.6289068,26.56151772,990.8640137,50.46785355
33:02.4,-1.001659036,-0.023157686,-0.084842063,85.03291819,196.2668965,126.5421088,26.56151772,990.8688965,50.46785355
33:02.5,-0.999931216,-0.023881365,-0.085806176,85.03039785,196.2185251,126.5010184,26.56151772,990.873291,50.60631561
33:02.5,-1.000918627,-0.021469103,-0.087493375,85.02483807,196.2586456,126.5449365,26.56151772,990.873291,50.60631561
33:02.5,-1.001412272,-0.021951558,-0.087252349,85.02886105,196.2973045,126.578582,26.45314789,990.8771973,51.78640747
33:02.6,-1.001412272,-0.024846269,-0.084360011,85.0381706,196.4229526,126.6991622,26.54345512,990.8735352,51.46228027
33:02.6,-1.001412272,-0.026293622,-0.083395891,85.04377819,196.6657658,126.9423989,26.54345512,990.8735352,51.46228027
33:02.7,-1.001412272,-0.026534848,-0.080262519,85.04741868,196.771907,127.0534851,26.5795784,990.8706055,50.990242
33:02.7,-0.999931216,-0.026776075,-0.080503553,85.04903743,196.7773711,127.0716534,26.5795784,990.8718262,50.990242
33:02.8,-1.000671744,-0.025811171,-0.083154865,85.0403426,196.7427831,127.0474745,26.4350872,990.8688965,50.91156769
33:02.8,-0.999684393,-0.025087493,-0.084360011,85.02570551,196.682131,126.9960022,26.4350872,990.864502,50.91156769
33:02.9,-1.000178099,-0.022675235,-0.088457495,85.03706411,195.6717138,125.9908306,26.41702461,990.861084,50.88010025
33:02.9,-1.001412272,-0.022675235,-0.087252349,85.00063871,196.894345,127.2217126,26.45314789,990.8637695,50.29162598
33:03.0,-1.000424862,-0.022434007,-0.087975435,84.9980569,196.9199582,127.2402771,26.45314789,990.8666992,50.29162598
33:03.0,-1.000424862,-0.024605041,-0.08508309,85.00205256,197.0022483,127.314371,26.52539444,990.8637695,50.45841217
33:03.0,-1.000671744,-0.026293622,-0.082190752,85.01468841,197.0961361,127.4006226,26.52539444,990.8657227,50.45841217
33:03.1,-1.001412272,-0.026052397,-0.081467658,85.02492003,197.2150633,127.5098237,26.5795784,990.8664551,48.01956177
33:03.1,-1.001412272,-0.026052397,-0.080262519,85.02783652,197.29387,127.5817592,26.5795784,990.8688965,48.01956177
33:03.2,-1.000424862,-0.025811171,-0.082431778,85.02657294,197.2527113,127.5394257,26.52539444,990.869873,49.82273865
33:03.2,-1.001905918,-0.023640137,-0.08508309,84.99363094,198.0911034,128.3820798,26.52539444,990.8691406,49.82273865
33:03.3,-1.000671744,-0.02291646,-0.086288236,84.95907701,198.841427,129.1381544,26.47121048,990.8676758,50.72589874
33:03.3,-1.000178099,-0.023398912,-0.087252349,84.94890686,198.7119812,129.007329,26.48927116,990.8596191,49.10839081
33:03.4,-1.001412272,-0.023881365,-0.087493375,84.94824433,198.6543344,128.9458026,26.48927116,990.8571777,49.10839081
33:03.4,-1.00116539,-0.023640137,-0.087975435,84.95111301,198.6274918,128.9105998,26.48927116,990.855957,50.50247192
33:03.5,-1.000918627,-0.025328718,-0.084360011,84.95865354,198.7321986,129.0130663,26.48927116,990.8540039,50.50247192
33:03.5,-1.00116539,-0.025569946,-0.080744579,84.94789599,199.6607901,129.9452779,26.45314789,990.8549805,50.61890411
33:03.5,-1.002152681,-0.027017301,-0.081467658,84.99156139,198.4760528,128.7594204,26.45314789,990.8535156,50.61890411
33:03.6,-1.001659036,-0.025569946,-0.080021493,84.99656792,198.3572212,128.6497549,26.54345512,990.8540039,52.02557373
33:03.6,-1.001659036,-0.023881365,-0.081949718,84.97008728,199.1602466,129.4684487,26.52539444,990.8505859,50.79198456
33:03.7,-1.001412272,-0.023398912,-0.085806176,84.96222573,199.0065127,129.3260256,26.52539444,990.8425293,50.79198456
33:03.7,-1.002646446,-0.02291646,-0.087011322,84.95577803,198.8257585,129.150558,26.47121048,990.8408203,50.44268036
33:03.8,-1.000178099,-0.02412259,-0.086529262,84.95340795,198.7470338,129.0831987,26.47121048,990.8449707,50.44268036
33:03.8,-1.001412272,-0.023398912,-0.086770289,84.9546852,198.6485971,128.9921933,26.47121048,990.8442383,50.73219299
33:03.9,-1.001412272,-0.025569946,-0.08508309,84.95499939,198.7533039,129.0993453,26.47121048,990.8452148,50.73219299
33:03.9,-1.001412272,-0.025811171,-0.082913831,84.96195252,198.8337635,129.1807885,26.50733185,990.8459473,51.93431473
33:04.0,-1.001905918,-0.028464656,-0.079780459,84.97468399,198.8154859,129.1654069,26.54345512,990.8510742,49.50175476
33:04.0,-1.000424862,-0.027017301,-0.081467658,84.98038037,198.7825781,129.1418017,26.54345512,990.8535156,49.50175476
33:04.1,-1.000671744,-0.025811171,-0.083877951,84.98241577,198.6426275,129.0040095,26.54345512,990.8540039,49.42937469
33:04.1,-0.999684393,-0.022434007,-0.084842063,84.98096777,198.4211654,128.7810994,26.54345512,990.8547363,49.42937469
33:04.1,-1.00116539,-0.023398912,-0.085806176,84.97889822,198.236081,128.5910153,26.52539444,990.8574219,50.49303055
33:04.2,-1.001412272,-0.020986654,-0.086770289,84.97663743,198.1108563,128.4603401,26.52539444,990.855957,50.49303055
33:04.2,-1.00116539,-0.021951558,-0.086288236,84.97359799,198.0613374,128.4071193,26.61570168,990.8527832,48.96048737
33:04.3,-1.00116539,-0.023640137,-0.084601037,84.97722482,198.1209103,128.4562147,26.61570168,990.8562012,48.96048737
33:04.3,-1.001412272,-0.026052397,-0.082431778,84.98546203,198.2802177,128.6105496,26.48927116,990.855957,50.60002518
33:04.4,-0.999931216,-0.027017301,-0.081708692,84.98803701,198.4140347,128.7416619,26.45314789,990.857666,49.11468506
33:04.4,-1.00116539,-0.028223429,-0.082913831,84.94886588,199.7297614,130.0589732,26.45314789,990.8571777,49.11468506
33:04.5,-1.001412272,-0.026052397,-0.082672805,84.95049829,199.6736309,129.9981299,26.52539444,990.8554688,49.18706512
33:04.5,-1.001412272,-0.02412259,-0.08508309,84.94646165,199.4346699,129.7528031,26.52539444,990.8583984,49.18706512
33:04.6,-1.000178099,-0.02412259,-0.085324116,84.94157807,199.2286714,129.5446736,26.5795784,990.859375,48.93216324
33:04.6,-1.000178099,-0.022192782,-0.086288236,84.9436681,199.0829835,129.3885765,26.5795784,990.8637695,48.93216324
33:04.6,-0.999931216,-0.022192782,-0.086770289,84.94568984,198.9739736,129.273638,26.48927116,990.8603516,49.54266357
33:04.7,-1.00116539,-0.022192782,-0.08508309,84.94933033,198.9170508,129.2183955,26.54345512,990.8564453,50.14057541
33:04.7,-1.002152681,-0.024605041,-0.083395891,84.95504037,198.8842659,129.1790946,26.54345512,990.8569336,50.14057541
33:04.8,-1.000424862,-0.026293622,-0.082190752,84.95958244,198.9721978,129.2652779,26.47121048,990.8540039,49.133564
33:04.8,-1.000671744,-0.027499752,-0.081226632,84.96238282,198.9787411,129.2727638,26.47121048,990.8522949,49.133564
33:04.9,-1.000424862,-0.026293622,-0.082672805,84.9534421,198.9538792,129.2477789,26.50733185,990.8508301,50.20036697
33:04.9,-1.002399564,-0.026052397,-0.083154865,84.94747252,198.8647862,129.1592051,26.50733185,990.8527832,50.20036697
33:05.0,-1.000671744,-0.024846269,-0.085324116,84.91430512,199.6163939,129.9212356,26.52539444,990.8586426,49.74406433
33:05.0,-1.000671744,-0.023881365,-0.087011322,84.9112247,199.4314597,129.7323809,26.4350872,990.8596191,50.42694473
33:05.1,-1.000424862,-0.023640137,-0.087493375,84.91237901,199.3170677,129.615407,26.4350872,990.8535156,50.42694473
33:05.1,-1.000424862,-0.023640137,-0.085806176,84.91723527,199.2904163,129.579972,26.54345512,990.8503418,50.81401443
33:05.1,-1.00116539,-0.023398912,-0.085324116,84.93174942,199.309855,129.5862285,26.54345512,990.8520508,50.81401443
33:05.2,-1.000918627,-0.025087493,-0.082913831,84.93948803,199.360494,129.62124,26.48927116,990.8496094,50.09022522
33:05.2,-1.001905918,-0.02774098,-0.080262519,84.94731542,199.4205724,129.6693929,26.48927116,990.8476563,50.09022522
33:05.3,-1.000178099,-0.027017301,-0.081226632,84.91985806,200.2880884,130.538111,26.56151772,990.8479004,51.89025879
33:05.3,-0.999684393,-0.02412259,-0.082672805,84.91662055,200.1398596,130.3901827,26.56151772,990.8505859,51.89025879
33:05.4,-1.001905918,-0.02412259,-0.084842063,84.91538429,199.9165671,130.1694993,26.4350872,990.8525391,48.84404755
33:05.4,-1.00116539,-0.02291646,-0.086529262,84.88411568,200.5796555,130.8338718,26.54345512,990.847168,50.39232636
33:05.5,-1.001412272,-0.022192782,-0.086770289,84.88453916,200.4304978,130.6738405,26.54345512,990.8459473,50.39232636
33:05.5,-1.000424862,-0.02291646,-0.087011322,84.8840747,200.3247528,130.558984,26.47121048,990.8461914,51.48745346
33:05.6,-1.000671744,-0.025328718,-0.085565142,84.8833507,200.317786,130.542332,26.47121048,990.8464355,51.48745346
33:05.6,-1.000918627,-0.026293622,-0.082913831,84.89546746,200.3402027,130.553957,26.39896393,990.8459473,49.89196777
33:05.7,-0.999684393,-0.027499752,-0.081949718,84.94437161,199.1821441,129.3825932,26.39896393,990.8435059,49.89196777
33:05.7,-0.999684393,-0.026534848,-0.080503553,84.95608539,199.1221478,129.3143187,26.45314789,990.845459,51.72661591
33:05.7,-1.000671744,-0.025569946,-0.082431778,84.95709626,198.9787274,129.164314,26.54345512,990.8422852,50.37344742
33:05.8,-1.002152681,-0.024363814,-0.083154865,84.95833935,198.7885203,128.970364,26.54345512,990.8425293,50.37344742
33:05.8,-1.000424862,-0.021710331,-0.085565142,84.95165942,198.5876855,128.773436,26.48927116,990.8405762,49.37587738
33:05.9,-1.00116539,-0.022675235,-0.086770289,84.9503412,198.4471475,128.6314773,26.48927116,990.8449707,49.37587738
33:05.9,-1.001412272,-0.022434007,-0.085565142,84.95161844,198.4119174,128.5989383,26.50733185,990.8474121,50.26015854
33:06.0,-1.001659036,-0.024363814,-0.08604721,84.95305961,198.4428991,128.6303298,26.50733185,990.8493652,50.26015854
33:06.0,-1.000918627,-0.024846269,-0.084118977,84.96121486,198.475725,128.6601095,26.50733185,990.8544922,49.95175934
33:06.1,-0.999684393,-0.02774098,-0.082672805,84.96705467,198.587986,128.7701438,26.50733185,990.8474121,50.37974167
33:06.1,-1.00116539,-0.028947107,-0.082190752,85.00746207,197.4679442,127.6504436,26.4350872,990.8459473,50.37974167
33:06.2,-0.999931216,-0.027499752,-0.081467658,85.00954528,197.4454183,127.6272346,26.54345512,990.8474121,52.03186798
33:06.2,-1.000671744,-0.025569946,-0.082913831,85.00750305,197.3382526,127.5208612,26.54345512,990.8503418,52.03186798
33:06.2,-1.000178099,-0.024605041,-0.084118977,85.00283803,197.1818549,127.3598873,26.47121048,990.8508301,50.71960449
33:06.3,-1.001905918,-0.021951558,-0.08604721,84.99609664,196.969559,127.1418404,26.47121048,990.8569336,50.71960449
33:06.3,-0.999684393,-0.022192782,-0.088216469,84.98912984,196.8581176,127.0258638,26.50733185,990.8549805,50.91786194
33:06.4,-1.001905918,-0.021710331,-0.084118977,84.99589856,196.8051154,126.9701021,26.50733185,990.8510742,50.91786194
33:06.4,-1.000424862,-0.024363814,-0.083395891,84.99930682,196.9220482,127.0812156,26.50733185,990.8474121,51.03115082
33:06.5,-1.000424862,-0.024363814,-0.083154865,85.00597309,197.0577777,127.2140491,26.4350872,990.8527832,50.32624435
33:06.5,-0.999190688,-0.027258525,-0.081226632,85.01543973,197.1800245,127.3416917,26.4350872,990.8508301,50.32624435
33:06.6,-1.00116539,-0.029188333,-0.080985606,85.01838354,197.2952224,127.4634467,26.50733185,990.8486328,51.06576538
